pasp,asp,terminated,block,floor,unit,carpark,price,revision,terms,related
2021-05-01,2021-05-07,,ONE SOHO,5,A2,,6344800,,"- 價單第1號(D)付款方法 Payment Plan (D) of Price List No. 1 (見備註/See Remarks 7(c)(i)) - Sino Club會員售價折扣優惠 Price Discount Offer for Sino Club Member (見備註/See Remarks 7(c)(ii)) - 「置業有禮」特別折扣 ""Home Purchase"" Special Discount (見備註/See Remarks 7(c)(iii)) -「印花稅津貼」優惠 ""Subsidy of Stamp Duty"" Benefit (見備註/See Remarks 7(c)(iv)) -「西九文化高鐵核心」特別優惠 ""West Kowloon Cultural District"" Special Benefit (見備註/See Remarks 7(c)(v))",
2021-05-01,2021-05-07,,ONE SOHO,5,A3,,5803200,,"- 價單第1號(B)付款方法 Payment Plan (B) of Price List No. 1 (見備註/See Remarks 7(c)(i)) - Sino Club會員售價折扣優惠 Price Discount Offer for Sino Club Member (見備註/See Remarks 7(c)(ii)) - 「置業有禮」特別折扣 ""Home Purchase"" Special Discount (見備註/See Remarks 7(c)(iii)) -「印花稅津貼」優惠 ""Subsidy of Stamp Duty"" Benefit (見備註/See Remarks 7(c)(iv)) -「西九文化高鐵核心」特別優惠 ""West Kowloon Cultural District"" Special Benefit (見備註/See Remarks 7(c)(v))",
2021-05-01,2021-05-07,,ONE SOHO,5,A5,,7622300,,"- 價單第1號(A)付款方法 Payment Plan (A) of Price List No. 1 (見備註/See Remarks 7(c)(i)) - Sino Club會員售價折扣優惠 Price Discount Offer for Sino Club Member (見備註/See Remarks 7(c)(ii)) - 「置業有禮」特別折扣 ""Home Purchase"" Special Discount (見備註/See Remarks 7(c)(iii)) -「印花稅津貼」優惠 ""Subsidy of Stamp Duty"" Benefit (見備註/See Remarks 7(c)(iv)) -「西九文化高鐵核心」特別優惠 ""West Kowloon Cultural District"" Special Benefit (見備註/See Remarks 7(c)(v))",
2021-05-01,2021-05-07,,ONE SOHO,5,A6,,7286400,,"- 價單第3號(D)付款方法 Payment Plan (D) of Price List No. 3 (見備註/See Remarks 7(c)(i)) - Sino Club會員售價折扣優惠 Price Discount Offer for Sino Club Member (見備註/See Remarks 7(c)(ii)) - 「置業有禮」特別折扣 ""Home Purchase"" Special Discount (見備註/See Remarks 7(c)(iii)) -「印花稅津貼」優惠 ""Subsidy of Stamp Duty"" Benefit (見備註/See Remarks 7(c)(iv)) -「西九文化高鐵核心」特別優惠 ""West Kowloon Cultural District"" Special Benefit (見備註/See Remarks 7(c)(v))",
2021-05-01,2021-05-07,,ONE SOHO,5,A8,,5733300,"在 1/6/2021，基 於法例第35(2)(b) 條所容許的原因 ，售價更改為 $5,507,900 On 1/6/2021, the price adjusted to $5,507,900 due to the reason allowed under section 35(2)(b) of the Ordinance","- 價單第1號(D)付款方法 Payment Plan (D) of Price List No. 1 (見備註/See Remarks 7(c)(i)) - Sino Club會員售價折扣優惠 Price Discount Offer for Sino Club Member (見備註/See Remarks 7(c)(ii)) - 「置業有禮」特別折扣 ""Home Purchase"" Special Discount (見備註/See Remarks 7(c)(iii)) -「印花稅津貼」優惠 ""Subsidy of Stamp Duty"" Benefit (見備註/See Remarks 7(c)(iv)) -「西九文化高鐵核心」特別優惠 ""West Kowloon Cultural District"" Special Benefit (見備註/See Remarks 7(c)(v)) 在 1/6/2021，支付條款更改為 On 1/6/2021, the terms of payment adjusted to - 價單第1號(A)付款方法 Payment Plan (A) of Price List No. 1 (見備註/See Remarks 7(c)(i)) - Sino Club會員售價折扣優惠 Price Discount Offer for Sino Club Member (見備註/See Remarks 7(c)(ii)) - 「置業有禮」特別折扣 ""Home Purchase"" Special Discount (見備註/See Remarks 7(c)(iii)) -「印花稅津貼」優惠 ""Subsidy of Stamp Duty"" Benefit (見備註/See Remarks 7(c)(iv)) -「西九文化高鐵核心」特別優惠 ""West Kowloon Cultural District"" Special Benefit (見備註/See Remarks 7(c)(v))",
2021-05-01,2021-05-07,,ONE SOHO,5,B1,,6610200,,"- 價單第1號(E)付款方法或 Payment Plan (E) of Price List No. 1 (見備註/See Remarks 7(c)(i)) - Sino Club會員售價折扣優惠 Price Discount Offer for Sino Club Member (見備註/See Remarks 7(c)(ii)) - 「置業有禮」特別折扣 ""Home Purchase"" Special Discount (見備註/See Remarks 7(c)(iii)) -「印花稅津貼」優惠 ""Subsidy of Stamp Duty"" Benefit (見備註/See Remarks 7(c)(iv)) -「西九文化高鐵核心」特別優惠 ""West Kowloon Cultural District"" Special Benefit (見備註/See Remarks 7(c)(v)) - 備用第一按揭或第二按揭貸款 Standby First Mortgage or Second Mortgage Loan (見備註/See Remarks 7(d)(i)&(ii))",
2021-05-01,2021-05-07,,ONE SOHO,5,B2,,6399600,,"- 價單第2號(A)付款方法 Payment Plan (A) of Price List No. 2 (見備註/See Remarks 7(c)(i)) - Sino Club會員售價折扣優惠 Price Discount Offer for Sino Club Member (見備註/See Remarks 7(c)(ii)) - 「置業有禮」特別折扣 ""Home Purchase"" Special Discount (見備註/See Remarks 7(c)(iii)) -「印花稅津貼」優惠 ""Subsidy of Stamp Duty"" Benefit (見備註/See Remarks 7(c)(iv)) -「西九文化高鐵核心」特別優惠 ""West Kowloon Cultural District"" Special Benefit (見備註/See Remarks 7(c)(v))",
2021-05-01,2021-05-07,,ONE SOHO,5,B3,,6569900,,"- 價單第1號(D)付款方法 Payment Plan (D) of Price List No. 1 (見備註/See Remarks 7(c)(i)) - Sino Club會員售價折扣優惠 Price Discount Offer for Sino Club Member (見備註/See Remarks 7(c)(ii)) - 「置業有禮」特別折扣 ""Home Purchase"" Special Discount (見備註/See Remarks 7(c)(iii)) -「印花稅津貼」優惠 ""Subsidy of Stamp Duty"" Benefit (見備註/See Remarks 7(c)(iv)) -「西九文化高鐵核心」特別優惠 ""West Kowloon Cultural District"" Special Benefit (見備註/See Remarks 7(c)(v))",
2021-05-01,2021-05-07,,ONE SOHO,6,A2,,6113200,,"- 價單第1號(A)付款方法 Payment Plan (A) of Price List No. 1 (見備註/See Remarks 7(c)(i)) - Sino Club會員售價折扣優惠 Price Discount Offer for Sino Club Member (見備註/See Remarks 7(c)(ii)) - 「置業有禮」特別折扣 ""Home Purchase"" Special Discount (見備註/See Remarks 7(c)(iii)) -「印花稅津貼」優惠 ""Subsidy of Stamp Duty"" Benefit (見備註/See Remarks 7(c)(iv)) -「西九文化高鐵核心」特別優惠 ""West Kowloon Cultural District"" Special Benefit (見備註/See Remarks 7(c)(v))",
2021-05-01,2021-05-07,,ONE SOHO,6,A3,,5974500,,"- 價單第1號(D)付款方法 Payment Plan (D) of Price List No. 1 (見備註/See Remarks 7(c)(i)) - Sino Club會員售價折扣優惠 Price Discount Offer for Sino Club Member (見備註/See Remarks 7(c)(ii)) - 「置業有禮」特別折扣 ""Home Purchase"" Special Discount (見備註/See Remarks 7(c)(iii)) -「印花稅津貼」優惠 ""Subsidy of Stamp Duty"" Benefit (見備註/See Remarks 7(c)(iv)) -「西九文化高鐵核心」特別優惠 ""West Kowloon Cultural District"" Special Benefit (見備註/See Remarks 7(c)(v))",
