pasp,asp,terminated,block,floor,unit,carpark,price,revision,terms,related
2021-11-06,2021-11-12,2024-05-06,大樓 1A 座 Tower 1A,G,A,,7760000,,價單第1號/Price List No. 1 見備註7(c)(ii)/See Remark 7(c)(ii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f) 見備註7(g)/See Remark 7(g),
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,G,B,,4227000,"在14-12-2021,基於 法例第35(2)(b)條所 容許的原因,售價更 改為$4,086,000 On 14-12-2021, the price adjusted to $4,086,000 due to the reason allowed under section 35(2)(b) of the Ordinance","價單第1號/Price List No. 1 見備註7(c)(ii)/See Remark 7(c)(ii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f) 見備註7(g)/See Remark 7(g) 在14-12-2021,支付條款更改為 On 14-12-2021, the terms of payment adjusted to 價單第1號/Price List No. 1 見備註7(c)(i)/See Remark 7(c)(i) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f)",
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,G,C,,5243000,,價單第1號/Price List No. 1 見備註7(c)(ii)/See Remark 7(c)(ii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f) 見備註7(g)/See Remark 7(g),
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,G,D,,5069000,,價單第1號/Price List No. 1 見備註7(c)(ii)/See Remark 7(c)(ii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f) 見備註7(g)/See Remark 7(g),
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,G,E,,4126000,,價單第1號/Price List No. 1 見備註7(c)(i)/See Remark 7(c)(i) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f),
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,G,F,,7554000,,價單第2號/Price List No. 2 見備註7(c)(ii)/See Remark 7(c)(ii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f) 見備註7(g)/See Remark 7(g),
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,G,G,,7238000,,價單第1號/Price List No. 1 見備註7(c)(ii)/See Remark 7(c)(ii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f) 見備註7(g)/See Remark 7(g),
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,G,H,,4160000,,價單第2號/Price List No. 2 見備註7(c)(ii)/See Remark 7(c)(ii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f) 見備註7(g)/See Remark 7(g),
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,G,J,,4956000,,價單第1號/Price List No. 1 見備註7(c)(i)/See Remark 7(c)(i) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f),
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,G,K,,4978000,,價單第1號/Price List No. 1 見備註7(c)(ii)/See Remark 7(c)(ii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f) 見備註7(g)/See Remark 7(g),
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,G,L,,4108000,,價單第2號/Price List No. 2 見備註7(c)(ii)/See Remark 7(c)(ii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f) 見備註7(g)/See Remark 7(g),
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,G,M,,6948000,,價單第1號/Price List No. 1 見備註7(c)(ii)/See Remark 7(c)(ii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f) 見備註7(g)/See Remark 7(g),
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,1,A,,6703000,,價單第1號/Price List No. 1 見備註7(c)(ii)/See Remark 7(c)(ii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f) 見備註7(g)/See Remark 7(g),
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,1,B,,3597000,,價單第1號/Price List No. 1 見備註7(c)(i)/See Remark 7(c)(i) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f),
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,1,C,,4669000,,價單第1號/Price List No. 1 見備註7(c)(ii)/See Remark 7(c)(ii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f) 見備註7(g)/See Remark 7(g),
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,1,D,,6413000,,價單第1號/Price List No. 1 見備註7(c)(ii)/See Remark 7(c)(ii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f) 見備註7(g)/See Remark 7(g),
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,1,E,,3604000,,價單第1號/Price List No. 1 見備註7(c)(i)/See Remark 7(c)(i) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f),
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,1,F,,6918000,,價單第2號/Price List No. 2 見備註7(c)(ii)/See Remark 7(c)(ii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f) 見備註7(g)/See Remark 7(g),
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,1,G,,6599000,,價單第1號/Price List No. 1 見備註7(c)(ii)/See Remark 7(c)(ii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f) 見備註7(g)/See Remark 7(g),
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,1,H,,3542000,,價單第2號/Price List No. 2 見備註7(c)(ii)/See Remark 7(c)(ii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f) 見備註7(g)/See Remark 7(g),
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,1,J,,4561000,,價單第1號/Price List No. 1 見備註7(c)(ii)/See Remark 7(c)(ii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f) 見備註7(g)/See Remark 7(g),
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,1,K,,4545000,,價單第1號/Price List No. 1 見備註7(c)(ii)/See Remark 7(c)(ii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f) 見備註7(g)/See Remark 7(g),
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,1,L,,3613000,,價單第2號/Price List No. 2 見備註7(c)(ii)/See Remark 7(c)(ii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f) 見備註7(g)/See Remark 7(g),
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,1,M,,6512000,,價單第1號/Price List No. 1 見備註7(c)(ii)/See Remark 7(c)(ii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f) 見備註7(g)/See Remark 7(g),
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,2,A,,6730000,,價單第1號/Price List No. 1 見備註7(c)(ii)/See Remark 7(c)(ii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f) 見備註7(g)/See Remark 7(g),
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,2,B,,3619000,,價單第1號/Price List No. 1 見備註7(c)(i)/See Remark 7(c)(i) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f),
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,2,C,,4540000,,價單第1號/Price List No. 1 見備註7(c)(i)/See Remark 7(c)(i) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f),
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,2,D,,6440000,,價單第1號/Price List No. 1 見備註7(c)(ii)/See Remark 7(c)(ii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f) 見備註7(g)/See Remark 7(g),
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,2,E,,3751000,,價單第1號/Price List No. 1 見備註7(c)(ii)/See Remark 7(c)(ii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f) 見備註7(g)/See Remark 7(g),
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,2,F,,6945000,,價單第2號/Price List No. 2 見備註7(c)(ii)/See Remark 7(c)(ii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f) 見備註7(g)/See Remark 7(g),
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,2,G,,6669000,,價單第1號/Price List No. 1 見備註7(c)(ii)/See Remark 7(c)(ii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f) 見備註7(g)/See Remark 7(g),
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,2,H,,3578000,,價單第1號/Price List No. 1 見備註7(c)(ii)/See Remark 7(c)(ii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f) 見備註7(g)/See Remark 7(g),
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,2,J,,4435000,,價單第1號/Price List No. 1 見備註7(c)(i)/See Remark 7(c)(i) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f),
2021-11-06,2021-11-12,,大樓 1A 座 Tower 1A,2,K,,4572000,"在08-11-2021,基於 法例第35(2)(b)條所 容許的原因,售價更 改為$4,420,000 On 08-11-2021, the price adjusted to $4,420,000 due to the reason allowed under section 35(2)(b) of the Ordinance","價單第1號/Price List No. 1 見備註7(c)(ii)/See Remark 7(c)(ii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f) 見備註7(g)/See Remark 7(g) 在08-11-2021,支付條款更改為 On 08-11-2021, the terms of payment adjusted to 價單第1號/Price List No. 1 見備註7(c)(i)/See Remark 7(c)(i) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f)",
2021-11-06,2021-11-12,2024-05-06,大樓 1A 座 Tower 1A,2,L,,3635000,,價單第2號/Price List No. 2 見備註7(c)(ii)/See Remark 7(c)(ii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f) 見備註7(g)/See Remark 7(g),
