pasp,asp,terminated,block,floor,unit,carpark,price,revision,terms,related
2020-01-15,2020-01-22,,3 號洋房 House 3,,"$55,228,000","The Purchase Price and payment terms have been changed on 9/7/2021 pursuant to a Supplemental Agreement dated 9/7/2021 made between the Vendor and the Purchaser due to the reason that the Purchaser now elects to apply for mortgage with the Vendor’s designated financing company which was not elected previously and both parties had agreed to the same subject to the adjustment of the Purchase Price from HK$55,228,000 to HK$55,890,736 and of the payments terms as revised in column (G). 根據一份2021年7月9日由賣方及 買方訂立的補充合約，成交金額 及支付條款已於2021年7月9日更 改。是項更改是因買方選擇了先 前沒有揀選的由賣方指定的財務 機構所提供的按揭貸款的權利， 雙方同意是項更改，條件是成交 金額由HK$55,228,000調整至HK$ 55,890,736及支付條款亦更改至(G )欄經更改條款。",,,,
2020-12-16,2020-12-23,,10 號洋房 House 10,,"$51,800,000",,2000000.0,,,
2021-06-25,2021-07-05,,9 號洋房 House 9,,"$53,000,000",,2000000.0,,,
2021-12-31,2022-01-07,,25 號洋房 House 25,,"$55,000,000",,2000000.0,,,
2021-12-31,2022-01-06,,15 號洋房 House 15,,"$72,000,000",,2000000.0,,,
2022-11-02,2022-11-04,,12 號洋房 House 12,,"$54,000,000",,2000000.0,,,
2022-11-11,2022-11-17,,16 號洋房 House 16,,"$51,800,000",,2000000.0,,,
2023-05-11,2023-05-18,,11 號洋房 House 11,,"$53,000,000",,2000000.0,,,
2024-01-01,2024-01-03,,5 號洋房 House 5,,"$51,000,000",,2000000.0,,,
2024-04-05,2024-04-12,,2 號洋房 House 2,,"$60,000,000",,2000000.0,,,
2025-06-20,2025-06-27,,1 號洋房 House 1,,"$48,800,000",,2000000.0,,,
2025-12-09,2025-12-16,,17 號洋房 House 17,,"$43,000,000",,2000000.0,,,
2025-12-09,2025-12-16,,23 號洋房 House 23,,"$40,000,000",,2000000.0,,,
2026-01-12,2026-01-19,,21 號洋房 House 21,,"$42,000,000",,2000000.0,,,
2026-01-26,2026-02-02,,18 號洋房 House 18,,"$42,280,000",,2000000.0,,,
2026-08-07,2026-08-14,,22 號洋房 House 22,,"$46,000,000",,2000000.0,,,
2026-09-17,2026-09-24,,19 號洋房 House 19,,"$50,271,550",,2000000.0,,,
2026-09-17,2026-09-24,,20 號洋房 House 20,,"$49,866,950",,2000000.0,,,
