pasp,asp,terminated,block,floor,unit,carpark,price,revision,terms,related
2020-05-24,2020-05-27,,1,6,L,,5848680,,售單第1號(B)支支付付 Payment method (B) of Price List No. 1 依依一售依6%(94%) 6% discount from the price (94%),
2020-05-24,2020-05-29,,1,6,P,,4790240,,售單第1號(B)支支付付 Payment method (B) of Price List No. 1 依依一售依6%(94%) 6% discount from the price (94%),
2020-05-24,2020-05-29,,1,7,L,,5912600,,售單第1號(B)支支付付 Payment method (B) of Price List No. 1 依依一售依6%(94%) 6% discount from the price (94%),
2020-05-24,2020-05-28,,1,7,P,,5152000,,售單第1號(D)支支付付 Payment method (D) of Price List No. 1 依依一售(100%) in accordance with the price (100%),
2020-05-24,2020-05-29,,1,8,E,,5980830,,售單第1號(A)支支付付 Payment method (A) of Price List No. 1 依依一售依7%(93%) 7% discount from the price (93%),
2020-05-24,2020-05-28,,1,8,L,,5954900,,售單第1號(B)支支付付 Payment method (B) of Price List No. 1 依依一售依6%(94%) 6% discount from the price (94%),
2020-05-24,2020-05-29,,1,8,P,,4826700,,售單第1號(A)支支付付 Payment method (A) of Price List No. 1 依依一售依7%(93%) 7% discount from the price (93%),
2020-05-24,2020-05-29,,1,9,C,,5977110,,售單第1號(A)支支付付 Payment method (A) of Price List No. 1 依依一售依7%(93%) 7% discount from the price (93%),
2020-05-24,2020-05-29,,1,9,D,,5977110,,售單第1號(A)支支付付 Payment method (A) of Price List No. 1 依依一售依7%(93%) 7% discount from the price (93%),
2020-05-24,2020-05-28,,1,9,L,,5977460,,售單第1號(B)支支付付 Payment method (B) of Price List No. 1 依依一售依6%(94%) 6% discount from the price (94%),
2020-05-24,2020-05-28,,1,9,P,,4895520,,售單第1號(B)支支付付 Payment method (B) of Price List No. 1 依依一售依6%(94%) 6% discount from the price (94%),
2020-05-24,2020-05-28,,1,10,E,,6111880,,售單第1號(B)支支付付 Payment method (B) of Price List No. 1 依依一售依6%(94%) 6% discount from the price (94%),
2020-05-24,2020-05-26,,1,10,L,,6019760,,售單第1號(B)支支付付 Payment method (B) of Price List No. 1 依依一售依6%(94%) 6% discount from the price (94%),
2020-05-24,2020-05-27,,1,10,P,,4931240,,售單第1號(B)支支付付 Payment method (B) of Price List No. 1 依依一售依6%(94%) 6% discount from the price (94%),
2020-05-24,2020-05-28,,1,11,L,,6384510,,售單第1號(C)支支付付 Payment method (C) of Price List No. 1 依依一售依1%(99%) 1% discount from the price (99%),
2020-05-24,2020-05-29,,1,11,P,,4913190,,"售單第1號(A)支支付付 Payment method (A) of Price List No. 1 依依一售依7%(93%) 7% discount from the price (93%) 「恒恒有」有會如會會會會「恒基一一恒恒如恒成恒」購購售單成一一 一一（因並會會不不恒並恒恒成恒並並條條），成因於購於有有於於24 紀月個恒個。（如閱買因如恒成恒發如，不並一發其其其其因「恒恒有 」有會會有於不會會會。） Any ""Henderson Club"" member who purchases any specified residential property in the price list of the development directly through Henderson Property Agency Limited (but not through the other estate agents) will be given management fees for the period of 24 months after the execution of the assignment of the residential property by the purchaser. (If a purchase is made in the name of a limited company, at least one of its directors must be a ""Henderson Club"" member in order to get this benefit.)",
2020-05-24,2020-05-29,,1,12,L,,6104360,,售單第1號(B)支支付付 Payment method (B) of Price List No. 1 依依一售依6%(94%) 6% discount from the price (94%),
2020-05-24,2020-05-28,,1,12,P,,5000800,,售單第1號(B)支支付付 Payment method (B) of Price List No. 1 依依一售依6%(94%) 6% discount from the price (94%),
2020-05-24,2020-05-29,,1,15,L,,6147600,,售單第1號(B)支支付付 Payment method (B) of Price List No. 1 依依一售依6%(94%) 6% discount from the price (94%),
2020-05-24,2020-05-28,,1,16,L,,6189900,,售單第1號(B)支支付付 Payment method (B) of Price List No. 1 依依一售依6%(94%) 6% discount from the price (94%),
