pasp,asp,terminated,block,floor,unit,carpark,price,revision,terms,related
2015-11-14,2015-11-20,,Tower 2 第2座,2,C,,6495000,,(1) 價單第1號(A1)付款方法: 120 天備用二按貸款付款計劃(照售價減6%/– 連 同備用二按貸款 Terms of Payment(A1) of Price List No.1: 120-day Standby Second Mortgage Loan Payment Plan (6% discount from the Price) – with a Standby Second Mortgage Loan (2) 「Club Wheelock」會員優惠 Privilege for「Club Wheelock」member (3) 印花稅津貼折扣 Stamp Duty Subsidy Discount,
2015-11-14,2015-11-20,,Tower 10 第10座,2,A,,14794000,,(1) 價單第4號(B)付款方法: 180天現金優惠付款計劃(照售價減6%) Terms of Payment(B) of Price List No.4: 180-day Cash Payment Plan (6% discount from the Price) (2) 「Club Wheelock」會員優惠 Privilege for「Club Wheelock」member (3) 印花稅津貼折扣 Stamp Duty Subsidy Discount,
2015-11-14,2015-11-20,,Tower 3 第3座,7,C,,7100000,,(1) 價單第1號(A1)付款方法: 120 天備用二按貸款付款計劃(照售價減6%/– 連 同備用二按貸款 Terms of Payment(A1) of Price List No.1: 120-day Standby Second Mortgage Loan Payment Plan (6% discount from the Price) – with a Standby Second Mortgage Loan (2) 「Club Wheelock」會員優惠 Privilege for「Club Wheelock」member (3) 印花稅津貼折扣 Stamp Duty Subsidy Discount,
2015-11-14,2015-11-20,,Tower 9 第9座,6,A,,10796000,,(1) 價單第3號(A)付款方法: 120天現金優惠付款計劃(照售價減7%) Terms of Payment(A) of Price List No.3: 120-day Cash Payment Plan (7% discount from the Price) (2) 「Club Wheelock」會員優惠 Privilege for「Club Wheelock」member (3) 印花稅津貼折扣 Stamp Duty Subsidy Discount,
2015-11-14,2015-11-17,,Tower 10 第10座,5,A,,10823000,,(1) 價單第3號(A)付款方法: 120天現金優惠付款計劃(照售價減7%) Terms of Payment(A) of Price List No.3: 120-day Cash Payment Plan (7% discount from the Price) (2) 「Club Wheelock」會員優惠 Privilege for「Club Wheelock」member (3) 印花稅津貼折扣 Stamp Duty Subsidy Discount,
2015-11-14,2015-11-20,,Tower 10 第10座,12,A,,34539000,,(1) 價單第4號(A)付款方法: 120天現金優惠付款計劃(照售價減7%) Terms of Payment(A) of Price List No.4: 120-day Cash Payment Plan (7% discount from the Price) (2) 「Club Wheelock」會員優惠 Privilege for「Club Wheelock」member (3) 印花稅津貼折扣 Stamp Duty Subsidy Discount (4) 住客車位認購權 Option to purchase Residential Parking Space,
2015-11-14,2015-11-20,,Tower 10 第10座,10,D,,8731000,,(1) 價單第4號(A)付款方法: 120天現金優惠付款計劃(照售價減7%) Terms of Payment(A) of Price List No.4: 120-day Cash Payment Plan (7% discount from the Price) (2) 「Club Wheelock」會員優惠 Privilege for「Club Wheelock」member (3) 印花稅津貼折扣 Stamp Duty Subsidy Discount,
2015-11-14,2015-11-20,,Tower 10 第10座,9,F,,5244000,,(1) 價單第3號(A)付款方法: 120天現金優惠付款計劃(照售價減7%) Terms of Payment(A) of Price List No.3: 120-day Cash Payment Plan (7% discount from the Price) (2) 「Club Wheelock」會員優惠 Privilege for「Club Wheelock」member (3) 印花稅津貼折扣 Stamp Duty Subsidy Discount,
2015-11-14,2015-11-19,,Tower 3 第3座,7,D,,7181000,,(1) 價單第2號(A1)付款方法: 120 天備用二按貸款付款計劃(照售價減6%/– 連 同備用二按貸款 Terms of Payment(A1) of Price List No.2: 120-day Standby Second Mortgage Loan Payment Plan (6% discount from the Price) – with a Standby Second Mortgage Loan (2) 「Club Wheelock」會員優惠 Privilege for「Club Wheelock」member (3) 印花稅津貼折扣 Stamp Duty Subsidy Discount,
2015-11-14,2015-11-20,,Tower 10 第10座,11,A,,11327000,,(1) 價單第3號(A)付款方法: 120天現金優惠付款計劃(照售價減7%) Terms of Payment(A) of Price List No.3: 120-day Cash Payment Plan (7% discount from the Price) (2) 「Club Wheelock」會員優惠 Privilege for「Club Wheelock」member (3) 印花稅津貼折扣 Stamp Duty Subsidy Discount,
